"Label (Grouping)","HOUSING OCCUPANCY","HOUSING OCCUPANCY!!Total housing units","HOUSING OCCUPANCY!!Total housing units!!Occupied housing units","HOUSING OCCUPANCY!!Total housing units!!Vacant housing units","HOUSING OCCUPANCY!!Total housing units!!Homeowner vacancy rate","HOUSING OCCUPANCY!!Total housing units!!Rental vacancy rate","UNITS IN STRUCTURE","UNITS IN STRUCTURE!!Total housing units","UNITS IN STRUCTURE!!Total housing units!!1-unit, detached","UNITS IN STRUCTURE!!Total housing units!!1-unit, attached","UNITS IN STRUCTURE!!Total housing units!!2 units","UNITS IN STRUCTURE!!Total housing units!!3 or 4 units","UNITS IN STRUCTURE!!Total housing units!!5 to 9 units","UNITS IN STRUCTURE!!Total housing units!!10 to 19 units","UNITS IN STRUCTURE!!Total housing units!!20 or more units","UNITS IN STRUCTURE!!Total housing units!!Mobile home","UNITS IN STRUCTURE!!Total housing units!!Boat, RV, van, etc.","YEAR STRUCTURE BUILT","YEAR STRUCTURE BUILT!!Total housing units","YEAR STRUCTURE BUILT!!Total housing units!!Built 2014 or later","YEAR STRUCTURE BUILT!!Total housing units!!Built 2010 to 2013","YEAR STRUCTURE BUILT!!Total housing units!!Built 2000 to 2009","YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999","YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989","YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979","YEAR STRUCTURE BUILT!!Total housing units!!Built 1960 to 1969","YEAR STRUCTURE BUILT!!Total housing units!!Built 1950 to 1959","YEAR STRUCTURE BUILT!!Total housing units!!Built 1940 to 1949","YEAR STRUCTURE BUILT!!Total housing units!!Built 1939 or earlier","ROOMS","ROOMS!!Total housing units","ROOMS!!Total housing units!!1 room","ROOMS!!Total housing units!!2 rooms","ROOMS!!Total housing units!!3 rooms","ROOMS!!Total housing units!!4 rooms","ROOMS!!Total housing units!!5 rooms","ROOMS!!Total housing units!!6 rooms","ROOMS!!Total housing units!!7 rooms","ROOMS!!Total housing units!!8 rooms","ROOMS!!Total housing units!!9 rooms or more","ROOMS!!Total housing units!!Median rooms","BEDROOMS","BEDROOMS!!Total housing units","BEDROOMS!!Total housing units!!No bedroom","BEDROOMS!!Total housing units!!1 bedroom","BEDROOMS!!Total housing units!!2 bedrooms","BEDROOMS!!Total housing units!!3 bedrooms","BEDROOMS!!Total housing units!!4 bedrooms","BEDROOMS!!Total housing units!!5 or more bedrooms","HOUSING TENURE","HOUSING TENURE!!Occupied housing units","HOUSING TENURE!!Occupied housing units!!Owner-occupied","HOUSING TENURE!!Occupied housing units!!Renter-occupied","HOUSING TENURE!!Occupied housing units!!Average household size of owner-occupied unit","HOUSING TENURE!!Occupied housing units!!Average household size of renter-occupied unit","YEAR HOUSEHOLDER MOVED INTO UNIT","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2017 or later","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2015 to 2016","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2010 to 2014","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2000 to 2009","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1990 to 1999","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1989 and earlier","VEHICLES AVAILABLE","VEHICLES AVAILABLE!!Occupied housing units","VEHICLES AVAILABLE!!Occupied housing units!!No vehicles available","VEHICLES AVAILABLE!!Occupied housing units!!1 vehicle available","VEHICLES AVAILABLE!!Occupied housing units!!2 vehicles available","VEHICLES AVAILABLE!!Occupied housing units!!3 or more vehicles available","HOUSE HEATING FUEL","HOUSE HEATING FUEL!!Occupied housing units","HOUSE HEATING FUEL!!Occupied housing units!!Utility gas","HOUSE HEATING FUEL!!Occupied housing units!!Bottled, tank, or LP gas","HOUSE HEATING FUEL!!Occupied housing units!!Electricity","HOUSE HEATING FUEL!!Occupied housing units!!Fuel oil, kerosene, etc.","HOUSE HEATING FUEL!!Occupied housing units!!Coal or coke","HOUSE HEATING FUEL!!Occupied housing units!!Wood","HOUSE HEATING FUEL!!Occupied housing units!!Solar energy","HOUSE HEATING FUEL!!Occupied housing units!!Other fuel","HOUSE HEATING FUEL!!Occupied housing units!!No fuel used","SELECTED CHARACTERISTICS","SELECTED CHARACTERISTICS!!Occupied housing units","SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete plumbing facilities","SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete kitchen facilities","SELECTED CHARACTERISTICS!!Occupied housing units!!No telephone service available","OCCUPANTS PER ROOM","OCCUPANTS PER ROOM!!Occupied housing units","OCCUPANTS PER ROOM!!Occupied housing units!!1.00 or less","OCCUPANTS PER ROOM!!Occupied housing units!!1.01 to 1.50","OCCUPANTS PER ROOM!!Occupied housing units!!1.51 or more","VALUE","VALUE!!Owner-occupied units","VALUE!!Owner-occupied units!!Less than $50,000","VALUE!!Owner-occupied units!!$50,000 to $99,999","VALUE!!Owner-occupied units!!$100,000 to $149,999","VALUE!!Owner-occupied units!!$150,000 to $199,999","VALUE!!Owner-occupied units!!$200,000 to $299,999","VALUE!!Owner-occupied units!!$300,000 to $499,999","VALUE!!Owner-occupied units!!$500,000 to $999,999","VALUE!!Owner-occupied units!!$1,000,000 or more","VALUE!!Owner-occupied units!!Median (dollars)","MORTGAGE STATUS","MORTGAGE STATUS!!Owner-occupied units","MORTGAGE STATUS!!Owner-occupied units!!Housing units with a mortgage","MORTGAGE STATUS!!Owner-occupied units!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Less than $500","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$500 to $999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$1,000 to $1,499","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$1,500 to $1,999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$2,000 to $2,499","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$2,500 to $2,999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$3,000 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Median (dollars)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!Less than $250","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$250 to $399","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$400 to $599","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$600 to $799","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$800 to $999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$1,000 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!Median (dollars)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!Less than 20.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!Not computed","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!Less than 10.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!10.0 to 14.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!15.0 to 19.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!Not computed","GROSS RENT","GROSS RENT!!Occupied units paying rent","GROSS RENT!!Occupied units paying rent!!Less than $500","GROSS RENT!!Occupied units paying rent!!$500 to $999","GROSS RENT!!Occupied units paying rent!!$1,000 to $1,499","GROSS RENT!!Occupied units paying rent!!$1,500 to $1,999","GROSS RENT!!Occupied units paying rent!!$2,000 to $2,499","GROSS RENT!!Occupied units paying rent!!$2,500 to $2,999","GROSS RENT!!Occupied units paying rent!!$3,000 or more","GROSS RENT!!Occupied units paying rent!!Median (dollars)","GROSS RENT!!Occupied units paying rent!!No rent paid","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!Less than 15.0 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!15.0 to 19.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!20.0 to 24.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!25.0 to 29.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!30.0 to 34.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!35.0 percent or more","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!Not computed"
"Bronx borough, Bronx County, New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","537,197","513,890","23,307","1.2","1.9","","537,197","30,528","24,067","47,643","47,338","19,746","30,273","336,053","1,078","471","","537,197","9,605","11,146","28,341","21,165","21,227","47,361","77,935","75,708","52,939","191,770","","537,197","39,545","21,332","155,646","157,948","97,803","34,749","11,538","6,710","11,926","3.8","","537,197","43,715","172,786","181,774","109,861","19,127","9,934","","513,890","96,969","416,921","2.95","2.59","","513,890","102,635","60,951","94,944","130,526","63,445","61,389","","513,890","318,078","147,975","38,211","9,626","","513,890","265,500","9,168","54,331","167,620","393","104","292","5,078","11,404","","513,890","3,106","5,034","9,217","","513,890","453,695","36,042","24,153","","96,969","10,991","3,297","2,747","5,051","6,214","26,130","39,822","2,717","466,900","","96,969","57,011","39,958","","57,011","2,064","4,570","4,584","6,121","9,750","10,571","19,351","2,567","39,958","10,541","2,369","2,276","4,740","6,638","13,394","838","","56,454","18,223","6,401","5,191","5,487","21,152","557","38,626","17,588","6,632","3,388","3,104","1,282","1,042","5,590","1,332","","407,244","62,250","70,597","153,150","92,908","20,823","4,461","3,055","1,231","9,677","","395,597","39,602","37,370","37,095","41,832","40,565","199,133","21,324"
"    Margin of Error","","±1,357","±3,258","±2,933","±0.7","±0.4","","±1,357","±2,890","±2,333","±3,898","±3,870","±2,232","±3,015","±6,345","±725","±482","","±1,357","±1,865","±1,967","±3,136","±2,163","±2,566","±4,244","±4,793","±4,492","±3,758","±6,999","","±1,357","±3,777","±2,291","±6,721","±7,384","±5,314","±3,074","±1,727","±1,385","±1,672","±0.1","","±1,357","±4,080","±7,233","±6,807","±5,720","±2,641","±1,627","","±3,258","±4,730","±5,751","±0.10","±0.03","","±3,258","±5,774","±5,365","±5,547","±6,575","±4,106","±3,844","","±3,258","±7,832","±7,297","±3,466","±1,795","","±3,258","±7,834","±1,586","±4,471","±6,748","±341","±170","±483","±1,388","±1,983","","±3,258","±1,269","±1,623","±1,980","","±3,258","±5,350","±4,084","±2,858","","±4,730","±2,384","±818","±771","±1,023","±1,092","±2,591","±2,547","±754","±12,491","","±4,730","±3,538","±3,482","","±3,538","±1,079","±967","±1,030","±1,234","±1,466","±1,773","±2,200","±102","±3,482","±2,358","±726","±731","±979","±1,236","±1,771","±71","","±3,574","±2,055","±1,363","±1,102","±1,033","±2,208","±431","±3,345","±2,895","±1,481","±844","±873","±538","±573","±1,346","±630","","±6,354","±4,276","±5,640","±7,232","±4,777","±2,954","±1,318","±947","±19","±2,095","","±6,632","±3,652","±4,578","±3,886","±3,657","±3,498","±7,448","±3,112"
"    Percent","","537,197","95.7%","4.3%","(X)","(X)","","537,197","5.7%","4.5%","8.9%","8.8%","3.7%","5.6%","62.6%","0.2%","0.1%","","537,197","1.8%","2.1%","5.3%","3.9%","4.0%","8.8%","14.5%","14.1%","9.9%","35.7%","","537,197","7.4%","4.0%","29.0%","29.4%","18.2%","6.5%","2.1%","1.2%","2.2%","(X)","","537,197","8.1%","32.2%","33.8%","20.5%","3.6%","1.8%","","513,890","18.9%","81.1%","(X)","(X)","","513,890","20.0%","11.9%","18.5%","25.4%","12.3%","11.9%","","513,890","61.9%","28.8%","7.4%","1.9%","","513,890","51.7%","1.8%","10.6%","32.6%","0.1%","0.0%","0.1%","1.0%","2.2%","","513,890","0.6%","1.0%","1.8%","","513,890","88.3%","7.0%","4.7%","","96,969","11.3%","3.4%","2.8%","5.2%","6.4%","26.9%","41.1%","2.8%","(X)","","96,969","58.8%","41.2%","","57,011","3.6%","8.0%","8.0%","10.7%","17.1%","18.5%","33.9%","(X)","39,958","26.4%","5.9%","5.7%","11.9%","16.6%","33.5%","(X)","","56,454","32.3%","11.3%","9.2%","9.7%","37.5%","(X)","38,626","45.5%","17.2%","8.8%","8.0%","3.3%","2.7%","14.5%","(X)","","407,244","15.3%","17.3%","37.6%","22.8%","5.1%","1.1%","0.8%","(X)","(X)","","395,597","10.0%","9.4%","9.4%","10.6%","10.3%","50.3%","(X)"
"    Percent Margin of Error","","(X)","±0.5","±0.5","(X)","(X)","","(X)","±0.5","±0.4","±0.7","±0.7","±0.4","±0.6","±1.2","±0.1","±0.1","","(X)","±0.3","±0.4","±0.6","±0.4","±0.5","±0.8","±0.9","±0.8","±0.7","±1.3","","(X)","±0.7","±0.4","±1.3","±1.4","±1.0","±0.6","±0.3","±0.3","±0.3","(X)","","(X)","±0.8","±1.4","±1.3","±1.1","±0.5","±0.3","","(X)","±0.9","±0.9","(X)","(X)","","(X)","±1.1","±1.0","±1.1","±1.3","±0.8","±0.7","","(X)","±1.4","±1.4","±0.7","±0.3","","(X)","±1.5","±0.3","±0.9","±1.3","±0.1","±0.1","±0.1","±0.3","±0.4","","(X)","±0.2","±0.3","±0.4","","(X)","±0.8","±0.8","±0.6","","(X)","±2.2","±0.8","±0.8","±1.0","±1.1","±2.4","±2.4","±0.8","(X)","","(X)","±2.7","±2.7","","(X)","±1.8","±1.7","±1.8","±2.1","±2.2","±2.8","±3.5","(X)","(X)","±4.7","±1.6","±1.7","±2.5","±3.1","±3.8","(X)","","(X)","±2.9","±2.3","±1.9","±1.7","±3.2","(X)","(X)","±5.4","±3.8","±2.2","±2.2","±1.4","±1.4","±3.4","(X)","","(X)","±1.0","±1.3","±1.6","±1.2","±0.7","±0.3","±0.2","(X)","(X)","","(X)","±0.9","±1.1","±1.0","±1.0","±0.9","±1.6","(X)"
"Brooklyn borough, Kings County, New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,065,363","978,091","87,272","1.8","2.9","","1,065,363","52,392","91,510","185,623","172,360","109,928","62,724","389,869","751","206","","1,065,363","32,269","20,098","50,945","32,561","33,285","56,683","113,801","110,901","87,796","527,024","","1,065,363","58,238","64,621","257,419","308,282","172,845","92,144","38,295","26,994","46,525","4.0","","1,065,363","66,486","280,988","374,168","238,422","69,502","35,797","","978,091","291,015","687,076","2.88","2.44","","978,091","233,797","115,278","166,851","203,256","127,266","131,643","","978,091","545,385","332,236","83,199","17,271","","978,091","764,741","22,369","90,490","70,759","227","155","651","10,132","18,567","","978,091","3,177","5,690","14,711","","978,091","880,241","63,989","33,861","","291,015","5,316","3,084","3,735","3,027","8,971","38,679","131,216","96,987","793,600","","291,015","177,452","113,563","","177,452","697","6,056","10,380","21,454","24,748","28,199","85,918","2,950","113,563","13,578","4,244","9,245","17,177","21,496","47,823","930","","176,279","57,805","21,410","16,288","12,975","67,801","1,173","112,529","47,392","16,936","10,332","7,527","5,324","3,684","21,334","1,034","","670,497","69,200","93,687","178,775","155,120","83,554","43,456","46,705","1,483","16,579","","656,097","100,725","76,944","77,592","70,195","60,002","270,639","30,979"
"    Margin of Error","","±1,683","±5,532","±5,359","±0.4","±0.4","","±1,683","±3,630","±4,381","±6,474","±6,576","±5,112","±3,936","±8,301","±364","±187","","±1,683","±2,540","±2,227","±3,821","±2,886","±2,992","±4,032","±6,200","±4,805","±4,855","±8,969","","±1,683","±3,813","±4,002","±8,734","±7,647","±6,293","±4,043","±3,131","±2,711","±3,275","±0.1","","±1,683","±3,962","±8,115","±9,075","±7,510","±4,203","±3,126","","±5,532","±6,901","±8,289","±0.04","±0.02","","±5,532","±5,909","±6,030","±6,617","±7,904","±6,124","±5,216","","±5,532","±8,044","±7,292","±4,273","±2,071","","±5,532","±9,069","±1,941","±4,567","±3,723","±217","±158","±316","±1,326","±2,182","","±5,532","±923","±1,059","±2,271","","±5,532","±7,429","±4,507","±3,227","","±6,901","±942","±1,248","±884","±754","±1,392","±3,198","±5,209","±4,887","±14,733","","±6,901","±5,697","±4,043","","±5,697","±332","±1,378","±1,418","±2,472","±2,822","±2,485","±4,084","±54","±4,043","±2,017","±1,114","±1,667","±1,780","±2,236","±2,337","±18","","±5,614","±2,915","±2,288","±2,178","±1,751","±4,080","±560","±4,089","±3,082","±1,616","±1,283","±1,316","±1,068","±1,002","±2,609","±564","","±8,664","±5,165","±5,431","±6,513","±5,807","±4,459","±3,290","±3,205","±16","±2,184","","±8,926","±6,497","±4,729","±4,790","±4,282","±4,700","±8,557","±3,315"
"    Percent","","1,065,363","91.8%","8.2%","(X)","(X)","","1,065,363","4.9%","8.6%","17.4%","16.2%","10.3%","5.9%","36.6%","0.1%","0.0%","","1,065,363","3.0%","1.9%","4.8%","3.1%","3.1%","5.3%","10.7%","10.4%","8.2%","49.5%","","1,065,363","5.5%","6.1%","24.2%","28.9%","16.2%","8.6%","3.6%","2.5%","4.4%","(X)","","1,065,363","6.2%","26.4%","35.1%","22.4%","6.5%","3.4%","","978,091","29.8%","70.2%","(X)","(X)","","978,091","23.9%","11.8%","17.1%","20.8%","13.0%","13.5%","","978,091","55.8%","34.0%","8.5%","1.8%","","978,091","78.2%","2.3%","9.3%","7.2%","0.0%","0.0%","0.1%","1.0%","1.9%","","978,091","0.3%","0.6%","1.5%","","978,091","90.0%","6.5%","3.5%","","291,015","1.8%","1.1%","1.3%","1.0%","3.1%","13.3%","45.1%","33.3%","(X)","","291,015","61.0%","39.0%","","177,452","0.4%","3.4%","5.8%","12.1%","13.9%","15.9%","48.4%","(X)","113,563","12.0%","3.7%","8.1%","15.1%","18.9%","42.1%","(X)","","176,279","32.8%","12.1%","9.2%","7.4%","38.5%","(X)","112,529","42.1%","15.1%","9.2%","6.7%","4.7%","3.3%","19.0%","(X)","","670,497","10.3%","14.0%","26.7%","23.1%","12.5%","6.5%","7.0%","(X)","(X)","","656,097","15.4%","11.7%","11.8%","10.7%","9.1%","41.2%","(X)"
"    Percent Margin of Error","","(X)","±0.5","±0.5","(X)","(X)","","(X)","±0.3","±0.4","±0.6","±0.6","±0.5","±0.4","±0.8","±0.1","±0.1","","(X)","±0.2","±0.2","±0.4","±0.3","±0.3","±0.4","±0.6","±0.5","±0.5","±0.8","","(X)","±0.4","±0.4","±0.8","±0.7","±0.6","±0.4","±0.3","±0.3","±0.3","(X)","","(X)","±0.4","±0.8","±0.8","±0.7","±0.4","±0.3","","(X)","±0.7","±0.7","(X)","(X)","","(X)","±0.6","±0.6","±0.6","±0.8","±0.6","±0.5","","(X)","±0.7","±0.7","±0.4","±0.2","","(X)","±0.7","±0.2","±0.5","±0.4","±0.1","±0.1","±0.1","±0.1","±0.2","","(X)","±0.1","±0.1","±0.2","","(X)","±0.6","±0.5","±0.3","","(X)","±0.3","±0.4","±0.3","±0.3","±0.5","±1.1","±1.5","±1.5","(X)","","(X)","±1.2","±1.2","","(X)","±0.2","±0.7","±0.8","±1.4","±1.4","±1.3","±1.8","(X)","(X)","±1.6","±1.0","±1.4","±1.6","±1.7","±1.9","(X)","","(X)","±1.6","±1.3","±1.2","±1.0","±1.8","(X)","(X)","±2.2","±1.4","±1.1","±1.1","±0.9","±0.9","±2.1","(X)","","(X)","±0.7","±0.8","±0.9","±0.9","±0.6","±0.5","±0.5","(X)","(X)","","(X)","±0.9","±0.7","±0.7","±0.7","±0.7","±1.2","(X)"
"Manhattan borough, New York County, New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
